"","URN","LAESTAB","Schoolname","Ofstedphase","Typeofeducation","Region","Localauthority","Publicationdate","Overalleffectiveness","Previouspublicationdate","Previousfullinspectionoveralleffectiveness","Easting","Northing","Academy","DistrictAdministrativecode","LSOAcode","LACode","daysbetween","prev_out","curr_out","IDACI","num_pupils","prev_good","curr_good","bad_out_chance","good_out_chance"
"33",125579,9372420,"Bilton Infant School","Primary","Community School","West Midlands","Warwickshire",2017-05-08,2,2012-07-16,2,448346,273574,"0","E07000220","E01031136",937,1757,"2","2","2",168,"Y","Y",0.0904450944434365,0.909554905556563
"34",125580,9372421,"Abbots Farm Junior School","Primary","Community School","West Midlands","Warwickshire",2015-05-11,1,2013-05-17,3,452601,274512,"0","E07000220","E01031158",937,724,"3","1","2",264,"N","Y",0.0505311595949908,0.949468840405009
"35",125581,9372423,"Bawnmore Community Infant School","Primary","Community School","West Midlands","Warwickshire",2012-03-30,2,2007-02-20,2,449094,273123,"0","E07000220","E01031178",937,1865,"2","2","2",151,"Y","Y",0.0922430455851437,0.907756954414856
"36",125584,9372569,"High Meadow Community School","Primary","Community School","West Midlands","Warwickshire",2010-07-05,1,2007-01-16,1,419691,289887,"0","E07000218","E01031019",937,1266,"1","1","2",118,"Y","Y",0.0602410757215321,0.939758924278468
"37",125585,9372571,"St Giles Junior School","Primary","Community School","West Midlands","Warwickshire",2019-09-10,3,2014-07-16,2,434880,285740,"0","E07000219","E01031079",937,1882,"2","3","3",177,"Y","N",0.0866280265612606,0.913371973438739
"38",125591,9372581,"Chetwynd Junior School","Primary","Community School","West Midlands","Warwickshire",2018-02-13,3,2013-03-06,2,438012,289320,"0","E07000219","E01031056",937,1805,"2","3","2",352,"Y","N",0.0484774066202548,0.951522593379745
"39",125595,9372585,"Glendale Infant School","Primary","Community School","West Midlands","Warwickshire",2018-06-11,2,2014-10-24,2,434784,290761,"0","E07000219","E01031048",937,1326,"2","2","4",268,"Y","Y",0.147087514088763,0.852912485911237
"40",125598,9372590,"Boughton Leigh Junior School","Primary","Community School","West Midlands","Warwickshire",2014-07-10,2,2012-11-16,3,451473,277144,"0","E07000220","E01031137",937,601,"3","2","3",464,"N","Y",0.0922096727860666,0.907790327213933
"41",125603,9372598,"Boughton Leigh Infant School","Primary","Community School","West Midlands","Warwickshire",2012-07-19,2,2006-10-20,2,451473,277144,"0","E07000220","E01031137",937,2099,"2","2","3",259,"Y","Y",0.116528537945236,0.883471462054764
"42",125605,9372601,"Croft Junior School","Primary","Community School","West Midlands","Warwickshire",2020-02-26,2,2014-10-02,2,434567,291380,"0","E07000219","E01031060",937,1973,"2","2","4",309,"Y","Y",0.1406533153198,0.8593466846802
"43",125607,9372603,"Bishopton Primary School","Primary","Community School","West Midlands","Warwickshire",2013-02-28,2,2011-05-04,3,418397,255694,"0","E07000221","E01031238",937,666,"3","2","2",230,"N","Y",0.0841526562954068,0.915847343704593
"44",125609,9372605,"Priors Field Primary School","Primary","Community School","West Midlands","Warwickshire",2015-05-13,2,2013-07-19,3,427691,273074,"0","E07000222","E01031254",937,663,"3","2","1",211,"N","Y",0.0549531158281074,0.945046884171893
"45",125610,9372606,"Milverton Primary School","Primary","Community School","West Midlands","Warwickshire",2014-12-16,2,2009-12-11,2,431291,266526,"0","E07000222","E01031294",937,1831,"2","2","1",323,"Y","Y",0.0479950414752394,0.952004958524761
"46",125616,9372614,"Race Leys Infant School","Primary","Community School","West Midlands","Warwickshire",2014-04-08,2,2009-07-07,2,435724,287416,"0","E07000219","E01031105",937,1736,"2","2","4",162,"Y","Y",0.164852606557591,0.835147393442409
"47",125618,9372616,"Brownsover Community Infant School","Primary","Community School","West Midlands","Warwickshire",2019-02-07,2,2013-09-27,2,451815,277645,"0","E07000220","E01031139",937,1959,"2","2","2",214,"Y","Y",0.085737386958766,0.914262613041234
"48",125620,9372618,"Water Orton Primary School","Primary","Community School","West Midlands","Warwickshire",2014-10-23,2,2013-01-10,3,417616,290682,"0","E07000218","E01031041",937,651,"3","2","2",321,"N","Y",0.0756358376234173,0.924364162376583
"49",125623,9373002,"Alveston CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2012-07-02,2,2006-12-21,2,422216,255326,"0","E07000221","E01031227",937,2020,"2","2","1",204,"Y","Y",0.0554181985465074,0.944581801453493
"50",125625,9373011,"Bidford-on-Avon CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2011-06-30,2,2008-05-09,2,409669,252098,"0","E07000221","E01031192",937,1147,"2","2","2",316,"Y","Y",0.0760824975308886,0.923917502469111
"51",125626,9373014,"Brailes CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2014-11-03,2,2010-07-05,2,430940,239367,"0","E07000221","E01031193",937,1582,"2","2","1",78,"Y","Y",0.0644481179170062,0.935551882082994
"52",125631,9373024,"Ettington CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2011-03-24,2,2007-10-31,3,426995,248974,"0","E07000221","E01031196",937,1240,"3","2","1",211,"N","Y",0.0549531158281074,0.945046884171893
"53",125635,9373031,"Hampton Lucy CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2011-11-04,2,2009-04-02,3,425640,257065,"0","E07000221","E01031218",937,946,"3","2","1",83,"N","Y",0.0640650242013591,0.935934975798641
"54",125636,9373032,"Harbury CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2013-11-13,2,2009-03-18,2,437084,259911,"0","E07000221","E01031201",937,1701,"2","2","1",203,"Y","Y",0.0554849406545858,0.944515059345414
"55",125637,9373035,"Ilmington CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2012-12-12,1,2008-06-09,2,420958,243677,"0","E07000221","E01031246",937,1647,"2","1","1",117,"Y","Y",0.0381349575767451,0.961865042423255
"56",125639,9373040,"Loxley CofE Community Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2012-10-22,2,2010-02-04,3,425615,252653,"0","E07000221","E01031196",937,991,"3","2","2",36,"N","Y",0.105268581327915,0.894731418672085
"57",125640,9373041,"Mappleborough Green CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2012-11-15,2,2010-02-12,3,408564,266723,"0","E07000221","E01031213",937,1007,"3","2","2",118,"N","Y",0.0958250423475577,0.904174957652442
"58",125646,9373057,"Shottery St Andrew's CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2012-06-18,2,2009-03-20,2,418674,254622,"0","E07000221","E01031233",937,1186,"2","2","2",90,"Y","Y",0.0989613102092055,0.901038689790794
"59",125649,9373068,"Tysoe CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2015-11-05,2,2013-10-14,3,434052,244415,"0","E07000221","E01031247",937,752,"3","2","1",122,"N","Y",0.0611489578282343,0.938851042171766
