"","LAESTAB","Ofstedphase","Easting","Northing","Academy","DistrictAdministrativecode","LSOAcode","LACode","IDACI","num_pupils","bad_out_chance","good_out_chance","URN","Schoolname","Typeofeducation","Region","Localauthority","Publicationdate","Overalleffectiveness","Previouspublicationdate","Previousfullinspectionoveralleffectiveness","daysbetween"
"131",9372637,"Primary",432303,264649,"0","E07000222","E01031263",937,"4",219,0.410851111111111,0.589148888888889,130951,"Shrubland Street Community Primary School","Community School","West Midlands","Warwickshire",2014-06-20,2,2013-01-09,3,527
"132",9372640,"Primary",434219,292853,"0","E07000219","E01031075",937,"5",459,0.382295555555556,0.617704444444444,132059,"Camp Hill Primary School","Community School","West Midlands","Warwickshire",2017-06-29,2,2015-05-07,3,784
"133",9373596,"Primary",421506,296709,"0","E07000218","E01031033",937,"2",258,0.276688932203118,0.723311067796882,134924,"Kingsbury Primary School","Community School","West Midlands","Warwickshire",2017-09-11,2,2015-04-20,3,875
"134",9372083,"Primary",431153,297357,"0","E07000218","E01031013",937,"3",434,0.359971818717586,0.640028181282414,136061,"Outwoods Primary School","Community School","West Midlands","Warwickshire",2017-06-20,2,2015-04-27,3,785
"135",9376905,"Secondary",433847,290895,"1","E07000219","E01031050",937,"4",689,0.518687540769732,0.481312459230267,136158,"The Nuneaton Academy","Academy Sponsor Led","West Midlands","Warwickshire",2017-10-10,3,2016-04-28,4,530
"136",9374112,"Secondary",425794,301486,"1","E07000218","E01031039",937,"2",1526,0.228814556716996,0.771185443283004,136459,"The Polesworth School","Academy Converter","West Midlands","Warwickshire",2015-04-15,1,2008-01-15,1,2647
"137",9373598,"Primary",449956,274573,"0","E07000220","E01031167",937,"3",422,0.374686104431872,0.625313895568128,136507,"St Marie's Catholic Primary School and Nursery","Voluntary Aided School","West Midlands","Warwickshire",2015-03-06,2,2013-03-07,3,729
"138",9374241,"Secondary",452453,273521,"1","E07000220","E01031179",937,"1",1804,0.183555082217137,0.816444917782864,136587,"Ashlawn School","Academy Converter","West Midlands","Warwickshire",2013-12-18,1,2007-11-14,1,2226
"139",9375406,"Secondary",448684,272950,"1","E07000220","E01031134",937,"1",895,0.221645287404903,0.778354712595097,136595,"Rugby High School","Academy Converter","West Midlands","Warwickshire",2008-12-18,1,2006-03-02,1,1022
"140",9375407,"Secondary",408656,257782,"1","E07000221","E01031184",937,"1",1304,0.213884447296502,0.786115552703498,136622,"Alcester Grammar School","Academy Converter","West Midlands","Warwickshire",2009-03-26,1,2006-04-27,1,1064
